Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
GDP (current US$),"NY.GDP.MKTP.CD","Liechtenstein","LIE","1421466239.56234","2483953102.79488","5081432924.0144","4504549214.22663","5082366478.08994","5739977477.47748","5456009384.66461","6391735893.83968","6657170923.37918","6289165409.55908","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Lithuania","LTU","..","11539211480.3625","47850551148.8365","37440673477.8982","37120517693.8622","43476873412.803","42848195256.2142","46417340374.5203","48516371720.8346","41508609232.7778","42773029835.3222",".."
GDP (current US$),"NY.GDP.MKTP.CD","Luxembourg","LUX","13229247947.8513","21263514833.2412","55849686538.7432","51370543206.4462","53212476812.2957","60004630234.4135","56677961787.0717","61739352212.3049","66327344188.889","57784495265.4378","58631324559.4484",".."
GDP (current US$),"NY.GDP.MKTP.CD","Macao SAR, China","MAC","3220920084.77746","6720492405.83611","20917444919.6394","21475520709.3922","28123640998.7253","36709860068.3445","43031577366.4251","51552075901.5183","55347998647.8196","45361678146.5247","45310877912.7215",".."
GDP (current US$),"NY.GDP.MKTP.CD","Macedonia, FYR","MKD","4471828621.90813","3772851420.24763","9909548410.82744","9401731495.71661","9407168702.4313","10494632699.3859","9745251126.0109","10817712138.9451","11362272837.8818","10051659161.1733","10899583154.6499",".."
GDP (current US$),"NY.GDP.MKTP.CD","Madagascar","MDG","3081479800.28735","3877673539.09084","9413002920.97008","8550363974.79243","8729936135.74487","9892702357.56691","9919780071.28764","10601690871.7611","10673516672.6664","9744243420.48073","10001193420.1518",".."
GDP (current US$),"NY.GDP.MKTP.CD","Malawi","MWI","1880771556.30474","1743506531.32652","5320925102.29496","6190991712.12014","6959697194.02096","8003300198.30166","6028470988.53624","5518901971.40057","6054750320.3278","6373201160.03248","5433038646.51677",".."
GDP (current US$),"NY.GDP.MKTP.CD","Malaysia","MYS","44024178343.0071","93789736842.1053","230813597937.526","202257586267.556","255016609232.871","297951960784.314","314443149443.149","323277158906.979","338061963396.376","296434003328.639","296535930381.12",".."
GDP (current US$),"NY.GDP.MKTP.CD","Maldives","MDV","215089005.235602","624337145.284622","2271646188.14474","2345294878.6681","2588176058.41146","2774351757.78111","2886170570.48769","3295011380.8096","3697351594.22359","4006531188.26486","4224209599.22917",".."
GDP (current US$),"NY.GDP.MKTP.CD","Mali","MLI","2681912030.49384","2954129565.82965","9750822511.47988","10181021770.4326","10678749467.4697","12978107560.5982","12442747897.2223","13246412031.4145","14388360064.1162","13100058099.804","14034980333.6615",".."
GDP (current US$),"NY.GDP.MKTP.CD","Malta","MLT","2547163582.33149","4306192435.82207","8977149553.24447","8528202278.41067","8741059602.64901","9504797627.39878","9203729739.42371","10145944323.6938","11217780149.3338","10285547954.0777","10999047580.3881",".."
GDP (current US$),"NY.GDP.MKTP.CD","Marshall Islands","MHL","78476000","110937700","152788700","152617500","164969100","173260300","185210500","190800800","183121300","179697900","194497900",".."
GDP (current US$),"NY.GDP.MKTP.CD","Mauritania","MRT","1019600770.6038","1293654175.2102","3978425880.65663","3670515287.9948","4343665075.37898","5179690135.80186","5225533499.82893","5724227185.17784","5391475277.24326","4844223106.95469","4739298730.30837",".."
