name,country,lat,lon,population,,,
Villa Presidente Frei, Ñuñoa, Santiago, Chile,CL,-33.46069,-70.58024,15000
Adelaide,AU,-34.92866,138.59863,1225235,,,
Santiago de los Caballeros,DO,19.4517,-70.69703,1200000,,,
Anshan,CN,41.12361,122.99,1199275,,,
Tongshan,CN,34.18045,117.15707,1199193,,,
Depok,ID,-6.4,106.81861,1198129,,,
Fuzhou,CN,26.06139,119.30611,1179720,,,
Rosario,AR,-32.94682,-60.63932,1173533,,,
Guiyang,CN,26.58333,106.71667,1171633,,,
Goiânia,BR,-16.67861,-49.25389,1171195,,,
Guarulhos,BR,-23.46278,-46.53333,1169577,,,
Prague,CZ,50.08804,14.42076,1165581,,,
Copenhagen,DK,55.67594,12.56553,1153615,,,
Sofia,BG,42.69751,23.32415,1152556,,,
Dayan,CN,26.86879,100.22072,1137600,,,
Dubai,AE,25.25817,55.30472,1137347,,,
Baku,AZ,40.37767,49.89201,1116513,,,
Wuxi,CN,31.56887,120.28857,1108647,,,
Yerevan,AM,40.18111,44.51361,1093485,,,
Ouagadougou,BF,12.36566,-1.53388,1086505,,,
Datong,CN,40.09361,113.29139,1052678,,,
Tbilisi,GE,41.69411,44.83368,1049498,,,
Changshu City,CN,31.64615,120.74221,1047700,,,
Xianyang,CN,34.33778,108.70261,1034081,,,
Campinas,BR,-22.90556,-47.06083,1031554,,,
Huainan,CN,32.62639,116.99694,1027655,,,
Kunming,CN,25.03889,102.71833,1023674,,,
Calgary,CA,51.05011,-114.08529,1019942,,,
Brussels,BE,50.85045,4.34878,1019022,,,
Nova Iguaçu,BR,-22.75917,-43.45111,1002118,,,
Jieyang,CN,23.52886,116.36416,1001985,,,
Zhu Cheng City,CN,35.99502,119.40259,1000000,,,
Baoding,CN,38.85111,115.49028,995652,,,
Guatemala City,GT,14.64072,-90.51327,994938,,,
Benxi,CN,41.28861,123.765,987717,,,
Birmingham,GB,52.48142,-1.89983,984333,,,
Köln,DE,50.93333,6.95,963395,,,
Maceió,BR,-9.66583,-35.73528,954991,,,
Cartagena,CO,10.39972,-75.51444,952024,,,
Changzhou,CN,31.77358,119.95401,949018,,,
São Luís,BR,-2.52972,-44.30278,917237,,,
Huaibei,CN,33.97444,116.79167,903039,,,
Cochabamba,BO,-17.3895,-66.1568,900414,,,
Abobo,CI,5.41613,-4.0159,900000,,,
Pingdingshan,CN,33.73847,113.30119,889675,,,
Qiqihar,CN,47.34088,123.96045,882364,,,
Mendoza,AR,-32.89084,-68.82717,876884,,,
Mbuji-Mayi,CD,-6.13603,23.58979,874761,,,
Wenzhou,CN,27.99942,120.66682,865672,,,
Tegucigalpa,HN,14.0818,-87.20681,850848,,,
Padang,ID,-0.94924,100.35427,840352,,,
Duque de Caxias,BR,-22.78556,-43.31167,818329,,,
Valencia,ES,39.46975,-0.37739,814208,,,
La Paz,BO,-16.5,-68.15,812799,,,
Ottawa,CA,45.41117,-75.69812,812129,,,
Nanning,CN,22.81667,108.31667,803788,,,
Bandarlampung,ID,-5.42544,105.25803,800348,,,
Zagreb - Centar,HR,45.81313,15.97753,800000,,,
Bogor,ID,-6.59444,106.78917,800000,,,
Marseille,FR,43.29695,5.38107,794811,,,
Boumerdas,DZ,36.76639,3.47717,786499,,,
Anyang,CN,36.09944,114.32889,781129,,,
San Miguel de Tucumán,AR,-26.82414,-65.2226,781023,,,
Hohhot,CN,40.81056,111.65222,774477,,,
Shangyu,CN,30.01556,120.87111,770000,,,
Xining,CN,36.62554,101.75739,767531,,,
Natal,BR,-5.795,-35.20944,763043,,,
Qinhuangdao,CN,39.93167,119.58833,759718,,,
Hengyang,CN,26.88806,112.615,759602,,,
Malang,ID,-7.9797,112.6304,746716,,,
Teresina,BR,-5.08917,-42.80194,744512,,,
Xinxiang,CN,35.30889,113.86722,743601,,,
São Bernardo do Campo,BR,-23.69389,-46.565,743372,,,
Hegang,CN,47.35118,130.30012,743307,,,
Campo Grande,BR,-20.44278,-54.64639,729151,,,
Athens,GR,37.97945,23.71622,729137,,,
Cúcuta,CO,7.89391,-72.50782,721398,,,
Langfang,CN,39.50972,116.69472,720119,,,
Ningbo,CN,29.87819,121.54945,719867,,,
Yantai,CN,37.47649,121.44081,719332,,,
Edmonton,CA,53.55014,-113.46871,712391,,,
Zhuzhou,CN,27.83333,113.15,709358,,,
Pekanbaru,ID,0.53333,101.45,703956,,,
Sevilla,ES,37.38241,-5.97613,703206,,,
Jaboatão,BR,-8.18028,-35.00139,702621,,,
Santo Domingo Oeste,DO,18.5,-70,701269,,,
Rājshāhi,BD,24.374,88.60114,700133,,,
Changzhi,CN,35.20889,111.73861,699514,,,
Zagreb,HR,45.81444,15.97798,698966,,,
Sarajevo,BA,43.84864,18.35644,696731,,,
La Plata,AR,-34.92145,-57.95453,694167,,,
Zhangjiakou,CN,40.81,114.87944,692602,,,
Cotonou,BJ,6.36536,2.41833,690584,,,
Zigong,CN,29.34162,104.77689,689961,,,
Fuxin,CN,42.01556,121.65889,689050,,,
Huangshi,CN,30.24706,115.04814,688090,,,
Liaoyang,CN,41.27194,123.17306,687890,,,
Osasco,BR,-23.5325,-46.79167,677856,,,
Zaragoza,ES,41.65606,-0.87734,674317,,,
Xiangtan,CN,27.85,112.9,674189,,,
Zibo,CN,36.79056,118.06333,669770,,,
Mississauga,CA,43.5789,-79.6583,668549,,,
Puyang,CN,35.70278,115.00528,666322,,,
Nantong,CN,32.03028,120.87472,666251,,,
Mudanjiang,CN,44.58333,129.6,665915,,,
Santo André,BR,-23.66389,-46.53833,662373,,,
Pointe-Noire,CG,-4.77609,11.86352,659084,,,
João Pessoa,BR,-7.115,-34.86306,650883,,,
Frankfurt am Main,DE,50.11552,8.68417,650000,,,
Guilin,CN,25.28194,110.28639,649352,,,
Oran,DZ,35.69111,-0.64167,645984,,,
Zhanjiang,CN,21.28145,110.34271,637790,,,
Yogyakarta,ID,-7.78278,110.36083,636660,,,
North York,CA,43.76681,-79.4163,636000,,,
Tébessa,DZ,35.40417,8.12417,634332,,,
Zhenjiang,CN,32.21086,119.45508,632552,,,
Winnipeg,CA,49.8844,-97.14704,632063,,,
Dandong,CN,40.12917,124.39472,631973,,,
Jaboatão dos Guararapes,BR,-8.11278,-35.01472,630008,,,
Shaoguan,CN,24.8,113.58333,628749,,,
Yancheng,CN,33.38556,120.12528,628441,,,
Foshan,CN,23.02677,113.13148,627348,,,
Contagem,BR,-19.93167,-44.05361,627123,,,
Panshan,CN,41.18806,122.04944,625040,,,
Djibouti,DJ,11.58901,43.14503,623891,,,
Ribeirão Preto,BR,-21.1775,-47.81028,619746,,,
Haikou,CN,20.04583,110.34167,615835,,,
São José dos Campos,BR,-23.17944,-45.88694,613764,,,
Taizhou,CN,32.49069,119.90812,612356,,,
Xingtai,CN,37.06306,114.49417,611739,,,
Glasgow,GB,55.86515,-4.25763,610268,,,
Jinzhou,CN,41.10778,121.14167,604269,,,
Abu Dhabi,AE,24.46667,54.36667,603492,,,
